PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
03844,-9.558621,-0.023168,-1.449982,-0.157764,-0.037132,-0.146046,0.010681,0.009971,-0.001413,-0.095587,-0.000230,-0.014495,1.000000,0.000053,0.000050,-0.000007,-0.051394,0.761402,-0.054143,-0.643968,-177.046035,80.470892,-5.635243
03845,-9.582133,-0.025390,-1.445406,-0.166102,-0.033075,-0.123599,0.013137,0.012305,-0.000629,-0.095822,-0.000253,-0.014448,1.000000,0.000066,0.000062,-0.000003,-0.051410,0.761415,-0.054224,-0.643944,-177.073497,80.467851,-5.670590
03846,-9.528867,0.026292,-1.523070,-0.089571,-0.095139,-0.163715,0.009592,0.013079,0.005822,-0.095290,0.000261,-0.015224,1.000000,0.000048,0.000065,0.000029,-0.051382,0.761425,-0.054327,-0.643926,-177.134333,80.465263,-5.737540
03847,-9.540632,0.064978,-1.561464,-0.060287,-0.137317,-0.146067,0.012350,0.013803,0.007736,-0.095407,0.000647,-0.015608,1.000000,0.000062,0.000069,0.000039,-0.051367,0.761440,-0.054437,-0.643900,-177.190938,80.461592,-5.801981
03848,-9.528524,0.096647,-1.502874,-0.121017,-0.158264,-0.167946,0.003946,0.025130,0.004348,-0.095287,0.000965,-0.015017,1.000000,0.000020,0.000126,0.000022,-0.051318,0.761491,-0.054520,-0.643836,-177.251956,80.452050,-5.865835
03849,-9.575454,0.046985,-1.509162,-0.116363,-0.107584,-0.120216,-0.005509,0.016324,0.006154,-0.095756,0.000466,-0.015084,1.000000,-0.000028,0.000082,0.000031,-0.051240,0.761520,-0.054568,-0.643805,-177.313676,80.446870,-5.925089
03850,-9.527641,-0.017933,-1.545565,-0.064115,-0.047568,-0.160814,0.004549,0.021912,0.006609,-0.095278,-0.000182,-0.015445,1.000000,0.000023,0.000110,0.000033,-0.051187,0.761559,-0.054660,-0.643754,-177.381406,80.439221,-5.996100
03851,-9.562808,-0.036543,-1.491389,-0.121102,-0.018983,-0.134989,0.009926,0.019085,0.002814,-0.095629,-0.000366,-0.014905,1.000000,0.000050,0.000095,0.000014,-0.051177,0.761594,-0.054746,-0.643707,-177.423214,80.432354,-6.044132
03852,-9.621834,0.020894,-1.511568,-0.120889,-0.076293,-0.073872,0.019952,0.023606,0.001362,-0.096220,0.000210,-0.015104,1.000000,0.000100,0.000118,0.000007,-0.051200,0.761636,-0.054868,-0.643645,-177.464352,80.423593,-6.097130
03853,-9.639452,0.080769,-1.462151,-0.182124,-0.126718,-0.065163,0.016867,0.016885,0.002448,-0.096396,0.000808,-0.014613,1.000000,0.000084,0.000084,0.000012,-0.051218,0.761662,-0.054974,-0.643604,-177.500481,80.417965,-6.143438
03854,-9.550586,0.165417,-1.485231,-0.158186,-0.214097,-0.149556,0.006210,0.014519,-0.000275,-0.095507,0.001655,-0.014845,1.000000,0.000031,0.000073,-0.000001,-0.051196,0.761679,-0.055044,-0.643580,-177.542539,80.414374,-6.189383
03855,-9.503049,0.192259,-1.490136,-0.150288,-0.241267,-0.195795,-0.005011,0.016444,-0.003358,-0.095032,0.001924,-0.014894,1.000000,-0.000025,0.000082,-0.000017,-0.051150,0.761710,-0.055057,-0.643545,-177.571379,80.408846,-6.215588
03856,-9.520548,0.182507,-1.463832,-0.178237,-0.226261,-0.182839,-0.013774,0.020705,-0.005659,-0.095207,0.001827,-0.014629,1.000000,-0.000069,0.000104,-0.000028,-0.051067,0.761753,-0.055043,-0.643501,-177.607669,80.401595,-6.244069
03857,-9.573455,0.162631,-1.484991,-0.164806,-0.207941,-0.127013,-0.026485,0.024147,-0.008367,-0.095736,0.001628,-0.014839,1.000000,-0.000132,0.000121,-0.000042,-0.050953,0.761816,-0.054970,-0.643442,-177.632871,80.391533,-6.254106
03858,-9.578766,0.077102,-1.540689,-0.099896,-0.130531,-0.111893,-0.031694,0.021094,-0.011075,-0.095789,0.000774,-0.015397,1.000000,-0.000158,0.000105,-0.000055,-0.050819,0.761867,-0.054879,-0.643401,-177.661274,80.383950,-6.264171
03859,-9.590238,0.036013,-1.500085,-0.136731,-0.083371,-0.107093,-0.019009,0.023136,-0.016323,-0.095904,0.000367,-0.014990,1.000000,-0.000095,0.000116,-0.000082,-0.050760,0.761927,-0.054799,-0.643341,-177.655125,80.374280,-6.246756
