PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
11204,-3.843014,0.772749,9.121759,-0.072124,0.085101,0.115048,-0.096699,-0.040209,-0.031759,-0.038447,0.007778,0.091206,1.000000,-0.000483,-0.000201,-0.000159,-0.651884,0.126589,-0.161632,-0.729998,4.429912,23.300281,97.384495
11205,-3.900381,0.589814,9.000821,0.103608,-0.003449,0.014055,-0.092283,-0.045804,-0.034509,-0.039023,0.005946,0.089997,1.000000,-0.000461,-0.000229,-0.000173,-0.651941,0.126750,-0.161096,-0.730038,4.366775,23.273109,97.368562
11206,-3.925002,0.770501,9.118469,-0.078528,-0.002185,0.144200,-0.075347,-0.043422,-0.034286,-0.039268,0.007746,0.091173,1.000000,-0.000377,-0.000217,-0.000171,-0.652005,0.126866,-0.160628,-0.730064,4.313211,23.247270,97.352841
11207,-3.858421,0.789865,9.078499,-0.115803,0.034417,0.082556,-0.108197,-0.052533,-0.032943,-0.038607,0.007954,0.090771,1.000000,-0.000541,-0.000263,-0.000165,-0.652051,0.127053,-0.160012,-0.730126,4.241254,23.216156,97.337636
11208,-3.884369,0.623935,9.099567,0.041150,0.028929,0.100798,-0.121484,-0.046183,-0.032539,-0.038864,0.006301,0.090983,1.000000,-0.000607,-0.000231,-0.000163,-0.652082,0.127308,-0.159367,-0.730195,4.161678,23.188632,97.322951
11209,-3.910146,0.629697,9.097954,0.027645,-0.001999,0.109901,-0.095793,-0.046943,-0.033454,-0.039122,0.006347,0.090967,1.000000,-0.000479,-0.000235,-0.000167,-0.652132,0.127475,-0.158815,-0.730241,4.096854,23.160694,97.307775
11210,-3.896905,0.603715,9.117268,0.041955,0.013988,0.120738,-0.109984,-0.050093,-0.036112,-0.038991,0.006094,0.091160,1.000000,-0.000550,-0.000250,-0.000181,-0.652186,0.127681,-0.158197,-0.730291,4.022971,23.131047,97.290775
11211,-3.890484,0.553023,9.082134,0.080146,0.004944,0.082787,-0.101868,-0.038730,-0.037893,-0.038921,0.005584,0.090811,1.000000,-0.000509,-0.000194,-0.000189,-0.652242,0.127901,-0.157646,-0.730322,3.953763,23.107946,97.273276
11212,-3.871436,0.586083,9.150911,0.036498,0.040869,0.140587,-0.090926,-0.042367,-0.035014,-0.038733,0.005909,0.091498,1.000000,-0.000455,-0.000212,-0.000175,-0.652297,0.128072,-0.157123,-0.730355,3.891242,23.082635,97.257372
11213,-3.907221,0.505620,9.145091,0.110860,0.008845,0.144337,-0.095485,-0.030954,-0.035462,-0.039085,0.005107,0.091442,1.000000,-0.000477,-0.000155,-0.000177,-0.652341,0.128298,-0.156622,-0.730383,3.826441,23.063847,97.241768
11214,-3.899633,0.486115,9.062854,0.119117,-0.018996,0.064773,-0.072260,-0.025761,-0.035379,-0.039007,0.004901,0.090622,1.000000,-0.000361,-0.000129,-0.000177,-0.652396,0.128469,-0.156222,-0.730390,3.774829,23.048012,97.226386
11215,-3.852202,0.710859,9.109316,-0.115697,0.016659,0.102491,-0.051554,-0.025237,-0.037974,-0.038532,0.007139,0.091086,1.000000,-0.000258,-0.000126,-0.000190,-0.652474,0.128575,-0.155898,-0.730371,3.734689,23.032564,97.209499
11216,-3.811190,0.739228,9.122958,-0.156216,0.052884,0.100575,-0.089586,-0.027305,-0.041577,-0.038123,0.007441,0.091221,1.000000,-0.000448,-0.000137,-0.000208,-0.652541,0.128801,-0.155426,-0.730372,3.671641,23.016052,97.190237
11217,-3.866079,0.586540,9.095923,-0.008404,0.003396,0.088136,-0.091682,-0.024211,-0.046364,-0.038670,0.005916,0.090952,1.000000,-0.000458,-0.000121,-0.000232,-0.652622,0.129048,-0.154953,-0.730356,3.606524,23.001458,97.168210
11218,-3.816040,0.597333,9.126261,-0.034514,0.056076,0.097068,-0.091760,-0.026590,-0.049806,-0.038171,0.006025,0.091255,1.000000,-0.000459,-0.000133,-0.000249,-0.652717,0.129291,-0.154470,-0.730331,3.540271,22.985609,97.143909
11219,-3.882495,0.567193,9.111866,-0.007589,-0.011543,0.108068,-0.099488,-0.030199,-0.050223,-0.038837,0.005727,0.091110,1.000000,-0.000497,-0.000151,-0.000251,-0.652812,0.129544,-0.153947,-0.730312,3.469684,22.967676,97.119304
11220,-3.895940,0.581936,9.038408,-0.032344,-0.058575,0.046589,-0.096934,-0.027699,-0.055043,-0.038970,0.005874,0.090376,1.000000,-0.000485,-0.000138,-0.000275,-0.652923,0.129803,-0.153437,-0.730274,3.399214,22.951317,97.091757
11221,-3.857070,0.612196,9.094387,-0.077056,-0.008665,0.084465,-0.101202,-0.035973,-0.053596,-0.038585,0.006178,0.090934,1.000000,-0.000506,-0.000180,-0.000268,-0.653032,0.130044,-0.152887,-0.730249,3.326782,22.930142,97.064898
