PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
46902,-9.534277,0.185501,-1.642159,0.035443,-0.027177,-0.136348,0.002166,-0.004178,-0.013057,-0.095342,0.001861,-0.016424,1.000000,0.000011,-0.000021,-0.000065,0.060598,-0.758655,0.084870,0.643092,174.063117,80.420669,-17.786326
46903,-9.547806,0.201057,-1.678381,0.065793,-0.049461,-0.116750,0.002148,0.000708,-0.012606,-0.095478,0.002017,-0.016783,1.000000,0.000011,0.000004,-0.000063,0.060618,-0.758636,0.084866,0.643113,174.071033,80.424274,-17.779686
46904,-9.549382,0.259353,-1.683072,0.058436,-0.107760,-0.113426,0.006977,-0.000013,-0.013121,-0.095494,0.002600,-0.016831,1.000000,0.000035,-0.000000,-0.000066,0.060642,-0.758619,0.084861,0.643132,174.082452,80.427560,-17.769828
46905,-9.495266,0.301959,-1.649983,0.026870,-0.146108,-0.171544,-0.004811,-0.001446,-0.015720,-0.094952,0.003027,-0.016501,1.000000,-0.000024,-0.000007,-0.000079,0.060647,-0.758596,0.084822,0.643163,174.096168,80.432575,-17.753263
46906,-9.521828,0.277160,-1.683709,0.060762,-0.127874,-0.140208,-0.005896,0.002003,-0.017083,-0.095218,0.002779,-0.016836,1.000000,-0.000029,0.000010,-0.000085,0.060646,-0.758590,0.084775,0.643177,174.114527,80.434973,-17.730962
46907,-9.521585,0.247454,-1.664466,0.048662,-0.095307,-0.144139,-0.011673,0.004415,-0.011870,-0.095216,0.002479,-0.016643,1.000000,-0.000058,0.000022,-0.000059,0.060610,-0.758587,0.084730,0.643190,174.113356,80.436420,-17.725507
46908,-9.521305,0.217851,-1.645389,0.036463,-0.062674,-0.148074,-0.013147,0.005528,-0.016084,-0.095213,0.002185,-0.016451,1.000000,-0.000066,0.000028,-0.000080,0.060562,-0.758595,0.084647,0.643196,174.124916,80.436792,-17.703241
46909,-9.506877,0.225507,-1.663388,0.054650,-0.074953,-0.159200,-0.012470,0.004631,-0.017121,-0.095069,0.002262,-0.016632,1.000000,-0.000062,0.000023,-0.000086,0.060539,-0.758595,0.084580,0.643207,174.141131,80.438423,-17.679692
46910,-9.531952,0.169549,-1.712497,0.109609,-0.029303,-0.127305,-0.005237,0.005996,-0.017667,-0.095320,0.001703,-0.017122,1.000000,-0.000026,0.000030,-0.000088,0.060534,-0.758601,0.084527,0.643207,174.162346,80.438772,-17.653728
46911,-9.547624,0.190075,-1.680692,0.072076,-0.042816,-0.116763,0.002397,0.007254,-0.015588,-0.095477,0.001908,-0.016803,1.000000,0.000012,0.000036,-0.000078,0.060562,-0.758604,0.084515,0.643203,174.182807,80.438816,-17.634511
46912,-9.519672,0.180793,-1.662498,0.060653,-0.031961,-0.147490,0.010041,0.006070,-0.013735,-0.095197,0.001815,-0.016622,1.000000,0.000050,0.000030,-0.000069,0.060597,-0.758605,0.084519,0.643198,174.199673,80.438846,-17.620839
46913,-9.533104,0.196156,-1.699364,0.091017,-0.054230,-0.127897,0.003485,0.003807,-0.014225,-0.095331,0.001969,-0.016992,1.000000,0.000017,0.000019,-0.000071,0.060626,-0.758596,0.084514,0.643206,174.214964,80.440773,-17.607497
46914,-9.534405,0.225960,-1.685148,0.070776,-0.080755,-0.128467,0.004526,0.010131,-0.011957,-0.095345,0.002266,-0.016847,1.000000,0.000023,0.000051,-0.000060,0.060646,-0.758609,0.084524,0.643188,174.223758,80.438511,-17.601184
46915,-9.548680,0.215808,-1.668348,0.054260,-0.066873,-0.117336,0.004950,0.005138,-0.009784,-0.095487,0.002163,-0.016681,1.000000,0.000025,0.000026,-0.000049,0.060665,-0.758602,0.084542,0.643192,174.225317,80.439423,-17.602620
46916,-9.520741,0.207006,-1.650048,0.042788,-0.056044,-0.148059,-0.002693,0.006322,-0.011638,-0.095208,0.002075,-0.016497,1.000000,-0.000013,0.000032,-0.000058,0.060657,-0.758606,0.084526,0.643190,174.228749,80.438994,-17.597231
46917,-9.549660,0.216453,-1.635173,0.021859,-0.060843,-0.121842,-0.004044,0.008119,-0.009566,-0.095497,0.002169,-0.016348,1.000000,-0.000020,0.000041,-0.000048,0.060641,-0.758611,0.084516,0.643186,174.225436,80.438194,-17.598381
46918,-9.535164,0.224679,-1.653490,0.039941,-0.073077,-0.132970,-0.006458,0.008477,-0.009309,-0.095352,0.002251,-0.016531,1.000000,-0.000032,0.000042,-0.000047,0.060614,-0.758622,0.084503,0.643178,174.219243,80.436529,-17.601407
46919,-9.533620,0.192745,-1.669236,0.061791,-0.044891,-0.132420,-0.009946,0.009842,-0.010641,-0.095337,0.001932,-0.016688,1.000000,-0.000050,0.000049,-0.000053,0.060578,-0.758635,0.084470,0.643171,174.216779,80.434808,-17.598267
46920,-9.504435,0.181444,-1.685804,0.084293,-0.038437,-0.158643,-0.000975,0.011752,-0.010406,-0.095045,0.001819,-0.016852,1.000000,-0.000005,0.000059,-0.000052,0.060562,-0.758656,0.084458,0.643149,174.218054,80.431375,-17.594641
46921,-9.517461,0.168998,-1.703848,0.101732,-0.028930,-0.143016,-0.003667,0.012900,-0.006488,-0.095176,0.001693,-0.017032,1.000000,-0.000018,0.000064,-0.000032,0.060535,-0.758675,0.084462,0.643128,174.206190,80.427671,-17.604681
46922,-9.547468,0.181298,-1.655047,0.046762,-0.029276,-0.121292,0.008407,0.011111,-0.007770,-0.095476,0.001817,-0.016545,1.000000,0.000042,0.000056,-0.000039,0.060543,-0.758691,0.084485,0.643106,174.204084,80.424376,-17.609374
46923,-9.532932,0.189534,-1.673526,0.064937,-0.041569,-0.132426,0.015385,0.008384,-0.005103,-0.095330,0.001899,-0.016731,1.000000,0.000077,0.000042,-0.000026,0.060586,-0.758689,0.084554,0.643095,174.196921,80.423165,-17.625718
46924,-9.548632,0.210942,-1.641883,0.027319,-0.055003,-0.121821,0.012307,0.007197,-0.004037,-0.095487,0.002112,-0.016415,1.000000,0.000062,0.000036,-0.000020,0.060603,-0.758689,0.084609,0.643086,174.182984,80.421925,-17.645488
46925,-9.547322,0.207627,-1.677137,0.062105,-0.058582,-0.117329,0.009484,0.010107,-0.006181,-0.095474,0.002080,-0.016766,1.000000,0.000047,0.000051,-0.000031,0.060626,-0.758695,0.084656,0.643071,174.176679,80.419794,-17.657533
46926,-9.506097,0.210772,-1.642413,0.034015,-0.056486,-0.163673,0.008411,0.011113,-0.007770,-0.095062,0.002112,-0.016419,1.000000,0.000042,0.000056,-0.000039,0.060639,-0.758710,0.084685,0.643048,174.174575,80.416509,-17.663126
46927,-9.506172,0.238477,-1.663100,0.047780,-0.087455,-0.159701,0.007059,0.012910,-0.005699,-0.095063,0.002388,-0.016625,1.000000,0.000035,0.000065,-0.000028,0.060650,-0.758726,0.084727,0.643023,174.166230,80.412752,-17.675830
46928,-9.533794,0.245621,-1.683375,0.060753,-0.096542,-0.128974,0.002217,0.016069,-0.004962,-0.095339,0.002459,-0.016826,1.000000,0.000011,0.000080,-0.000025,0.060631,-0.758756,0.084751,0.642985,174.152353,80.406610,-17.690201
46929,-9.534998,0.276181,-1.669999,0.040566,-0.123130,-0.129478,0.002895,0.015172,-0.005998,-0.095351,0.002765,-0.016693,1.000000,0.000014,0.000076,-0.000030,0.060626,-0.758781,0.084779,0.642953,174.143433,80.401580,-17.701069
46930,-9.533318,0.244357,-1.686254,0.062339,-0.094875,-0.128968,0.001835,0.013734,-0.007813,-0.095334,0.002447,-0.016856,1.000000,0.000009,0.000069,-0.000039,0.060606,-0.758807,0.084780,0.642924,174.138162,80.396881,-17.704794
46931,-9.531877,0.240858,-1.722093,0.097126,-0.098454,-0.124490,-0.005140,0.016461,-0.010484,-0.095320,0.002413,-0.017213,1.000000,-0.000026,0.000082,-0.000052,0.060585,-0.758839,0.084765,0.642890,174.140207,80.391379,-17.699872
46932,-9.531924,0.268385,-1.742904,0.110790,-0.129365,-0.120510,-0.011006,0.010848,-0.012241,-0.095320,0.002689,-0.017424,1.000000,-0.000055,0.000054,-0.000061,0.060544,-0.758861,0.084721,0.642874,174.142192,80.388487,-17.690995
46933,-9.543477,0.224663,-1.775671,0.149267,-0.092455,-0.104412,-0.004042,0.010568,-0.009344,-0.095436,0.002251,-0.017752,1.000000,-0.000020,0.000053,-0.000047,0.060526,-0.758874,0.084713,0.642861,174.138992,80.386276,-17.692030
46934,-9.531125,0.209611,-1.705689,0.086508,-0.064172,-0.128471,0.003217,0.007054,-0.010334,-0.095312,0.002101,-0.017053,1.000000,0.000016,0.000035,-0.000052,0.060528,-0.758878,0.084714,0.642856,174.140665,80.385556,-17.690635
46935,-9.543244,0.222654,-1.777178,0.150859,-0.090786,-0.104421,0.005633,0.006698,-0.010588,-0.095433,0.002232,-0.017769,1.000000,0.000028,0.000033,-0.000053,0.060552,-0.758876,0.084731,0.642854,174.145859,80.385624,-17.688780
46936,-9.573455,0.234435,-1.727865,0.095919,-0.091100,-0.082630,0.011143,0.005089,-0.012132,-0.095735,0.002351,-0.017276,1.000000,0.000056,0.000025,-0.000061,0.060597,-0.758872,0.084756,0.642851,174.157918,80.386036,-17.682465
46937,-9.516534,0.215009,-1.724706,0.106237,-0.074825,-0.139613,0.007015,0.000015,-0.013110,-0.095165,0.002157,-0.017247,1.000000,0.000035,0.000000,-0.000066,0.060638,-0.758850,0.084765,0.642872,174.170092,80.390060,-17.674333
46938,-9.503048,0.197097,-1.688683,0.077427,-0.050935,-0.159199,0.006695,0.008139,-0.008773,-0.095031,0.001976,-0.016883,1.000000,0.000033,0.000041,-0.000044,0.060656,-0.758854,0.084794,0.642861,174.169013,80.388656,-17.679280
46939,-9.533553,0.237623,-1.658799,0.035521,-0.083067,-0.133403,0.008470,0.001347,-0.008668,-0.095336,0.002381,-0.016587,1.000000,0.000042,0.000007,-0.000043,0.060687,-0.758834,0.084825,0.642879,174.167528,80.391662,-17.685847
46940,-9.533556,0.236674,-1.658920,0.036264,-0.082206,-0.133398,0.000163,0.000975,-0.009722,-0.095336,0.002371,-0.016589,1.000000,0.000001,0.000005,-0.000049,0.060681,-0.758819,0.084819,0.642897,174.163594,80.394312,-17.688699
46941,-9.561412,0.243509,-1.677870,0.049344,-0.091323,-0.102673,-0.002918,-0.000217,-0.008658,-0.095614,0.002439,-0.016779,1.000000,-0.000015,-0.000001,-0.000043,0.060669,-0.758797,0.084814,0.642925,174.155003,80.398207,-17.695854
46942,-9.559898,0.211490,-1.692904,0.071129,-0.063074,-0.102216,-0.009227,0.004054,-0.012140,-0.095599,0.002120,-0.016927,1.000000,-0.000046,0.000020,-0.000061,0.060637,-0.758795,0.084774,0.642936,174.154640,80.399338,-17.690325
46943,-9.517632,0.211886,-1.691762,0.077033,-0.065477,-0.144076,-0.011629,0.001965,-0.012112,-0.095176,0.002124,-0.016917,1.000000,-0.000058,0.000010,-0.000061,0.060603,-0.758784,0.084728,0.642958,174.153445,80.402192,-17.684918
46944,-9.559564,0.181045,-1.673918,0.059790,-0.029645,-0.106216,-0.005072,0.004242,-0.011613,-0.095596,0.001816,-0.016737,1.000000,-0.000025,0.000021,-0.000058,0.060582,-0.758782,0.084700,0.642967,174.153752,80.403169,-17.680653
46945,-9.517326,0.181473,-1.672598,0.065687,-0.032056,-0.148078,-0.012280,-0.002026,-0.011528,-0.095173,0.001819,-0.016727,1.000000,-0.000061,-0.000010,-0.000058,0.060545,-0.758758,0.084653,0.643005,174.148840,80.408263,-17.678638
46946,-9.530515,0.168842,-1.689433,0.083078,-0.022450,-0.132502,0.000166,0.000979,-0.009721,-0.095305,0.001693,-0.016894,1.000000,0.000001,0.000005,-0.000049,0.060532,-0.758744,0.084639,0.643024,174.144702,80.410947,-17.680591
46947,-9.502948,0.188875,-1.690187,0.084584,-0.043513,-0.159223,0.004033,0.001954,-0.005533,-0.095030,0.001892,-0.016901,1.000000,0.000020,0.000010,-0.000028,0.060536,-0.758725,0.084669,0.643042,174.130282,80.413422,-17.697697
46948,-9.504434,0.219292,-1.675627,0.064316,-0.070033,-0.159655,0.003627,0.004508,-0.007933,-0.095045,0.002197,-0.016754,1.000000,0.000018,0.000023,-0.000040,0.060535,-0.758719,0.084681,0.643047,174.123188,80.414033,-17.705720
46949,-9.546357,0.188596,-1.657755,0.047163,-0.034251,-0.121802,0.009545,0.000348,-0.007077,-0.095464,0.001890,-0.016577,1.000000,0.000048,0.000002,-0.000035,0.060565,-0.758695,0.084722,0.643068,174.116565,80.417512,-17.718121
46950,-9.577257,0.257565,-1.647111,0.018148,-0.098043,-0.091925,0.009139,0.002903,-0.009476,-0.095773,0.002581,-0.016470,1.000000,0.000046,0.000015,-0.000047,0.060592,-0.758682,0.084748,0.643077,174.117185,80.419164,-17.721763
46951,-9.548147,0.246227,-1.662892,0.040673,-0.091727,-0.118211,0.002571,0.003070,-0.009750,-0.095482,0.002467,-0.016627,1.000000,0.000013,0.000015,-0.000049,0.060603,-0.758670,0.084757,0.643089,174.116533,80.421249,-17.724056
46952,-9.520268,0.237567,-1.644315,0.029142,-0.080981,-0.148925,-0.005069,0.004243,-0.011613,-0.095203,0.002381,-0.016441,1.000000,-0.000025,0.000021,-0.000058,0.060584,-0.758667,0.084730,0.643097,174.117239,80.422156,-17.719638
46953,-9.489904,0.223665,-1.694513,0.085620,-0.079052,-0.170795,-0.012303,0.002861,-0.011077,-0.094899,0.002241,-0.016944,1.000000,-0.000062,0.000014,-0.000055,0.060543,-0.758659,0.084686,0.643117,174.112476,80.424438,-17.717457
46954,-9.518897,0.233338,-1.679664,0.064706,-0.083692,-0.144496,-0.012631,0.010984,-0.006739,-0.095190,0.002336,-0.016792,1.000000,-0.000063,0.000055,-0.000034,0.060476,-0.758678,0.084656,0.643105,174.094000,80.421361,-17.727929
46955,-9.504094,0.213445,-1.678306,0.069910,-0.064263,-0.159654,-0.006020,0.003483,-0.007143,-0.095041,0.002137,-0.016781,1.000000,-0.000030,0.000017,-0.000036,0.060446,-0.758668,0.084647,0.643121,174.079760,80.423056,-17.739011
46956,-9.544723,0.180155,-1.695008,0.086662,-0.032761,-0.117396,-0.005746,0.005143,-0.010578,-0.095448,0.001806,-0.016948,1.000000,-0.000029,0.000026,-0.000053,0.060406,-0.758670,0.084606,0.643127,174.076502,80.423413,-17.735638
46957,-9.503644,0.183431,-1.659794,0.058553,-0.030841,-0.163675,0.002936,0.007855,-0.006671,-0.095037,0.001838,-0.016594,1.000000,0.000015,0.000039,-0.000033,0.060406,-0.758671,0.084629,0.643123,174.067327,80.422588,-17.746787
