PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
61458,-9.115300,1.372905,-2.743408,0.186437,0.034055,-0.196871,-0.025381,-0.018238,-0.001071,-0.091150,0.013726,-0.027444,1.000000,-0.000127,-0.000091,-0.000005,0.044123,0.793209,-0.063951,-0.603973,151.082242,72.271422,-30.543850
61459,-9.176031,1.432910,-2.744912,0.170763,-0.014994,-0.129820,-0.022655,-0.010713,0.005350,-0.091759,0.014324,-0.027456,1.000000,-0.000113,-0.000054,0.000027,0.044233,0.793172,-0.063902,-0.604019,151.050899,72.274891,-30.562167
61460,-9.241391,1.430329,-2.695591,0.107502,-0.001266,-0.081100,-0.012732,-0.012065,0.002568,-0.092412,0.014300,-0.026962,1.000000,-0.000064,-0.000060,0.000013,0.044293,0.793135,-0.063862,-0.604067,151.031154,72.280078,-30.573731
61461,-9.342595,1.449289,-2.681511,0.067290,-0.003753,0.014341,0.000590,-0.003214,0.003512,-0.093426,0.014491,-0.026817,1.000000,0.000003,-0.000016,0.000018,0.044307,0.793126,-0.063874,-0.604076,151.022512,72.280296,-30.582198
61462,-9.443429,1.447556,-2.680773,0.040969,0.013660,0.109936,0.006695,-0.014437,0.002826,-0.094433,0.014475,-0.026814,1.000000,0.000033,-0.000072,0.000014,0.044288,0.793086,-0.063898,-0.604127,151.011491,72.286576,-30.596671
61463,-9.454842,1.397689,-2.647681,0.010266,0.064801,0.104646,0.018535,-0.026939,0.002173,-0.094545,0.013978,-0.026488,1.000000,0.000093,-0.000135,0.000011,0.044220,0.793010,-0.063964,-0.604225,150.994588,72.299053,-30.624601
61464,-9.383687,1.353201,-2.575820,-0.035849,0.097430,0.011202,0.022464,-0.030029,-0.003775,-0.093833,0.013537,-0.025771,1.000000,0.000112,-0.000150,-0.000019,0.044108,0.792928,-0.064020,-0.604335,150.989318,72.314989,-30.643576
61465,-9.284246,1.374484,-2.560161,-0.023583,0.059956,-0.084548,0.012365,-0.025797,-0.010325,-0.092838,0.013751,-0.025613,1.000000,0.000062,-0.000129,-0.000052,0.044026,0.792858,-0.064018,-0.604433,150.989468,72.330365,-30.649894
61466,-9.267528,1.390073,-2.582880,0.004030,0.040700,-0.092143,0.006199,-0.022324,-0.003981,-0.092672,0.013903,-0.025839,1.000000,0.000031,-0.000112,-0.000020,0.043979,0.792796,-0.064024,-0.604518,150.981841,72.342515,-30.661963
61467,-9.282377,1.517340,-2.554350,-0.031859,-0.083169,-0.066837,0.000813,-0.013976,-0.007639,-0.092821,0.015177,-0.025550,1.000000,0.000004,-0.000070,-0.000038,0.043955,0.792758,-0.063995,-0.604572,150.981452,72.351222,-30.661900
61468,-9.288729,1.509088,-2.585887,-0.001112,-0.075045,-0.053640,-0.010307,-0.019499,-0.007866,-0.092884,0.015093,-0.025869,1.000000,-0.000052,-0.000097,-0.000039,0.043971,0.792703,-0.063924,-0.604651,150.973103,72.362984,-30.663049
