PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
04263,-10.674401,-1.569913,-2.884900,-0.127039,0.199911,1.353053,-0.699874,0.146107,0.255462,-0.106745,-0.015936,-0.028716,0.999993,-0.003499,0.000731,0.001277,-0.035111,0.795194,0.053387,-0.602979,-156.026844,72.788915,25.470930
04264,-10.364926,-1.987070,-3.312097,0.322554,0.705386,1.221271,-0.636827,0.114494,0.286587,-0.103639,-0.020124,-0.032998,0.999994,-0.003184,0.000572,0.001433,-0.031738,0.795726,0.054151,-0.602396,-156.964501,72.793809,24.872323
04265,-10.419187,-2.117570,-3.143130,0.117700,0.871206,1.239453,-0.229414,0.115583,0.323077,-0.104176,-0.021380,-0.031347,0.999998,-0.001147,0.000578,0.001615,-0.029877,0.796198,0.053541,-0.601922,-157.731831,72.803881,24.207496
04266,-10.301097,-1.743749,-2.818249,-0.156570,0.545146,0.993515,0.134622,0.083193,0.340740,-0.102993,-0.017594,-0.028151,0.999998,0.000673,0.000416,0.001704,-0.029403,0.796521,0.051771,-0.601673,-158.299981,72.832321,23.533089
04267,-10.107761,-1.217704,-2.634216,-0.260377,0.071604,0.699960,0.354440,0.051703,0.348849,-0.101063,-0.012307,-0.026338,0.999997,0.001772,0.000259,0.001744,-0.029774,0.796713,0.049305,-0.601606,-158.736859,72.877928,22.863561
04268,-10.001681,-0.779188,-2.758566,-0.095316,-0.323137,0.586201,0.339060,0.045733,0.376645,-0.100008,-0.007933,-0.027576,0.999997,0.001695,0.000229,0.001883,-0.029996,0.796894,0.046782,-0.601558,-159.230201,72.930413,22.145182
04269,-9.936454,-0.954288,-2.501897,-0.336027,-0.111570,0.472146,0.170375,0.081659,0.411252,-0.099355,-0.009726,-0.024987,0.999997,0.000852,0.000408,0.002056,-0.029451,0.797211,0.044619,-0.601329,-159.907910,72.968534,21.334820
04270,-9.998581,-1.079938,-2.395187,-0.464852,0.041261,0.514796,0.283626,0.051399,0.404657,-0.099970,-0.010968,-0.023942,0.999997,0.001418,0.000257,0.002023,-0.029369,0.797414,0.042149,-0.601241,-160.493313,73.018904,20.553730
04271,-9.276332,-0.386904,-2.700205,0.043938,-0.543481,-0.158995,0.424817,0.071118,0.393349,-0.092765,-0.003994,-0.026977,0.999996,0.002124,0.000356,0.001967,-0.029890,0.797649,0.039292,-0.601098,-160.993924,73.054361,19.776302
04272,-9.679031,0.054696,-2.454799,-0.295014,-0.996198,0.118736,0.598258,0.019801,0.439784,-0.096794,0.000408,-0.024537,0.999993,0.002991,0.000099,0.002199,-0.030951,0.797703,0.035741,-0.601194,-161.449875,73.124270,18.942491
04273,-9.602209,0.082903,-1.975529,-0.736049,-0.982688,-0.086205,0.348958,-0.002718,0.434761,-0.096023,0.000655,-0.019755,0.999996,0.001745,-0.000014,0.002174,-0.031031,0.797718,0.032956,-0.601330,-162.032307,73.203564,18.125339
04274,-10.092581,-0.235208,-1.902325,-0.947383,-0.670532,0.394518,0.023412,0.016368,0.427671,-0.100922,-0.002566,-0.019015,0.999998,0.000117,0.000082,0.002138,-0.029834,0.797835,0.031181,-0.601329,-162.805754,73.268170,17.304568
04275,-9.261060,-0.511117,-2.862734,0.203846,-0.296261,-0.112466,0.079669,-0.082579,0.379296,-0.092589,-0.005275,-0.028668,0.999998,0.000398,-0.000413,0.001896,-0.028993,0.797635,0.029440,-0.601723,-163.410439,73.376258,16.626159
04276,-8.759169,-0.139649,-2.915969,0.397792,-0.599175,-0.607899,0.316703,0.078780,0.340038,-0.087601,-0.001499,-0.029128,0.999997,0.001584,0.000394,0.001700,-0.029237,0.797877,0.027123,-0.601499,-163.899919,73.387296,15.926990
04277,-8.833288,0.997484,-3.372254,0.811920,-1.735520,-0.500181,0.789262,0.120950,0.283495,-0.088367,0.009982,-0.033630,0.999991,0.003946,0.000605,0.001417,-0.031544,0.798160,0.023601,-0.601157,-164.036698,73.365195,15.312846
04278,-9.419500,1.962851,-2.370313,-0.340204,-2.721866,-0.290410,1.327962,0.076493,0.312177,-0.094235,0.019638,-0.023537,0.999977,0.006640,0.000382,0.001561,-0.035906,0.798201,0.018355,-0.601039,-163.893821,73.372001,14.668889
04279,-9.962117,2.550814,-1.319567,-1.532629,-3.298684,-0.103859,0.608400,-0.021985,0.327483,-0.099661,0.025385,-0.013129,0.999994,0.003042,-0.000110,0.001637,-0.037342,0.798054,0.015223,-0.601235,-164.141116,73.435436,14.047624
04280,-8.997179,1.463742,-1.872333,-0.716354,-2.136118,-0.783787,-0.899468,0.061347,0.328931,-0.090001,0.014405,-0.018761,0.999988,-0.004497,0.000307,0.001645,-0.032761,0.798425,0.016607,-0.600972,-165.301105,73.450711,13.376122
04281,-8.829796,-0.423032,-2.704589,0.153079,-0.217615,-0.572126,-1.280365,0.038987,0.281745,-0.088297,-0.004528,-0.027000,0.999978,-0.006402,0.000195,0.001409,-0.026801,0.798761,0.019319,-0.600741,-166.582873,73.467974,12.804516
04282,-8.779268,-1.826385,-3.333809,0.768158,1.227794,-0.356062,-0.734888,-0.098820,0.271269,-0.087751,-0.018505,-0.033314,0.999992,-0.003674,-0.000494,0.001356,-0.023034,0.798586,0.020460,-0.601092,-167.474623,73.557543,12.314657
04283,-7.927668,-1.895162,-3.316986,0.995083,1.375369,-1.177868,0.399256,-0.116831,0.234754,-0.079235,-0.018978,-0.033254,0.999997,0.001996,-0.000584,0.001174,-0.023904,0.798213,0.018336,-0.601622,-167.645763,73.651563,11.898394
04284,-8.025484,-0.419840,-3.533805,1.191226,-0.115385,-1.115559,1.253357,-0.049440,0.257090,-0.080241,-0.004080,-0.035384,0.999980,0.006267,-0.000247,0.001285,-0.028121,0.797925,0.013549,-0.601948,-167.399857,73.710551,11.407369
04285,-8.896309,0.303116,-2.296059,-0.248632,-0.861661,-0.663710,1.223517,0.095134,0.312128,-0.088979,0.003033,-0.022900,0.999980,0.006118,0.000476,0.001561,-0.032063,0.798047,0.008606,-0.601680,-167.338999,73.696099,10.740775
04286,-10.716315,0.690731,-0.512183,-2.484068,-1.256178,0.571445,0.705730,0.021355,0.305073,-0.107174,0.006762,-0.005086,0.999993,0.003529,0.000107,0.001525,-0.033955,0.798008,0.005266,-0.601666,-167.529414,73.721690,10.122139
04287,-10.062201,0.364877,-1.762733,-1.082983,-0.930632,0.309032,0.074639,-0.234502,0.289170,-0.100606,0.003510,-0.017744,0.999998,0.000373,-0.001173,0.001446,-0.033371,0.797299,0.003924,-0.602649,-167.948487,73.887862,9.641459
04288,-9.209475,-0.727608,-2.557185,-0.029892,0.189117,-0.229041,-0.164141,-0.141972,0.288298,-0.092066,-0.007430,-0.025631,0.999998,-0.000821,-0.000710,0.001441,-0.031838,0.796906,0.003297,-0.603255,-168.548774,74.000645,9.115681
04289,-8.901008,-1.299525,-2.709899,0.239003,0.790942,-0.454404,0.270725,-0.206702,0.302473,-0.088962,-0.013093,-0.027209,0.999997,0.001354,-0.001034,0.001512,-0.031997,0.796245,0.001302,-0.604127,-168.910955,74.150374,8.577699
04290,-8.834400,-0.648495,-2.684775,0.235383,0.154395,-0.560883,1.107104,-0.228729,0.341866,-0.088302,-0.006487,-0.026985,0.999983,0.005535,-0.001144,0.001709,-0.035363,0.795368,-0.003362,-0.605085,-168.869816,74.316213,7.962333
04291,-8.743911,-0.111911,-1.864635,-0.530364,-0.324063,-0.893101,1.281701,-0.220894,0.382421,-0.087416,-0.001166,-0.018750,0.999977,0.006408,-0.001104,0.001912,-0.039302,0.794451,-0.008726,-0.605993,-168.820348,74.482465,7.251363
