PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30950,-5.217824,2.779721,7.943144,0.015854,0.043428,0.089026,0.098405,0.019207,-0.010666,-0.052169,0.027761,0.079450,1.000000,0.000492,0.000096,-0.000053,0.908181,0.059286,0.309959,0.274987,19.154019,32.031941,39.236977
30951,-5.190599,2.707579,7.905820,0.051221,-0.011103,0.024616,0.120813,0.010431,-0.024723,-0.051899,0.027034,0.079077,1.000000,0.000604,0.000052,-0.000124,0.908151,0.059783,0.310148,0.274765,19.217047,32.037205,39.231894
30952,-5.131844,2.972022,7.912517,-0.022070,0.236561,0.072666,0.138852,-0.007437,-0.040040,-0.051315,0.029676,0.079144,1.000000,0.000694,-0.000037,-0.000200,0.908166,0.060353,0.310286,0.274435,19.281830,32.036366,39.212123
30953,-5.140128,2.909549,7.983599,0.050029,0.176629,0.116589,0.138084,-0.001300,-0.050928,-0.051394,0.029053,0.079856,1.000000,0.000690,-0.000006,-0.000255,0.908184,0.060903,0.310453,0.274063,19.344506,32.040260,39.187721
30954,-5.144279,2.846849,7.896592,0.030526,0.110233,0.031662,0.131446,0.001323,-0.052676,-0.051435,0.028430,0.078985,1.000000,0.000657,0.000007,-0.000263,0.908204,0.061408,0.310625,0.273689,19.401810,32.046594,39.161854
30955,-5.257653,2.924356,7.822307,-0.118783,0.104803,0.054337,0.108816,-0.010368,-0.045402,-0.052574,0.029213,0.078236,1.000000,0.000544,-0.000052,-0.000227,0.908238,0.061846,0.310709,0.273386,19.448511,32.044567,39.138948
30956,-5.245842,2.893298,7.865820,-0.067578,0.082082,0.074165,0.093116,-0.022834,-0.032817,-0.052463,0.028905,0.078666,1.000000,0.000466,-0.000114,-0.000164,0.908279,0.062240,0.310712,0.273154,19.487688,32.034096,39.120308
30957,-5.245625,3.029261,7.853149,-0.135553,0.190707,0.102463,0.074516,-0.027327,-0.027852,-0.052463,0.030271,0.078536,1.000000,0.000373,-0.000137,-0.000139,0.908325,0.062574,0.310666,0.272978,19.518654,32.019588,39.104765
30958,-5.315023,3.021604,7.835413,-0.187631,0.142312,0.122995,0.044779,-0.015348,-0.019218,-0.053153,0.030204,0.078357,1.000000,0.000224,-0.000077,-0.000096,0.908351,0.062759,0.310633,0.272885,19.535627,32.010571,39.096469
30959,-5.232516,2.997445,7.897808,-0.084976,0.167317,0.122304,0.016111,-0.008274,-0.013022,-0.052326,0.029971,0.078978,1.000000,0.000081,-0.000041,-0.000065,0.908365,0.062824,0.310589,0.272873,19.540442,32.003524,39.094683
30960,-5.110578,2.861078,7.939407,0.081647,0.119116,0.052256,0.003592,-0.007121,-0.010991,-0.051107,0.028612,0.079393,1.000000,0.000018,-0.000036,-0.000055,0.908381,0.062824,0.310535,0.272884,19.537579,31.997375,39.093483
30961,-5.199105,2.857337,7.959975,0.036027,0.069085,0.114558,0.000131,-0.012573,-0.007734,-0.051995,0.028575,0.079597,1.000000,0.000001,-0.000063,-0.000039,0.908399,0.062831,0.310448,0.272920,19.534515,31.986987,39.094098
30962,-5.252254,2.849906,7.838765,-0.070199,0.027263,0.043717,-0.006700,-0.017734,-0.008448,-0.052528,0.028504,0.078382,1.000000,-0.000033,-0.000089,-0.000042,0.908431,0.062802,0.310331,0.272955,19.525344,31.974619,39.092122
30963,-5.289368,2.745684,7.858246,-0.038318,-0.080321,0.049377,-0.006252,-0.030098,-0.004580,-0.052905,0.027461,0.078574,1.000000,-0.000031,-0.000150,-0.000023,0.908474,0.062809,0.310155,0.273009,19.517591,31.954166,39.090790
30964,-5.220508,2.863799,7.756617,-0.112161,0.048631,-0.034896,-0.005203,-0.055049,0.000507,-0.052226,0.028640,0.077551,1.000000,-0.000026,-0.000275,0.000003,0.908550,0.062852,0.309867,0.273071,19.507845,31.919932,39.086104
30965,-5.234966,3.001687,7.785897,-0.173866,0.155749,0.035190,-0.015706,-0.077827,0.000607,-0.052380,0.030023,0.077836,1.000000,-0.000079,-0.000389,0.000003,0.908663,0.062889,0.309460,0.273149,19.490742,31.872721,39.077325
30966,-5.215309,3.039864,7.885458,-0.127852,0.201593,0.115236,-0.037414,-0.086510,-0.004476,-0.052187,0.030415,0.078826,1.000000,-0.000187,-0.000433,-0.000022,0.908805,0.062821,0.308987,0.273228,19.457158,31.822441,39.062426
30967,-5.086358,3.024557,7.954711,-0.004772,0.259967,0.098357,-0.043827,-0.092374,-0.013131,-0.050898,0.030266,0.079517,1.000000,-0.000219,-0.000462,-0.000066,0.908968,0.062729,0.308479,0.273282,19.417695,31.769986,39.041734
30968,-5.071462,3.125745,7.927117,-0.068900,0.351656,0.096943,-0.054571,-0.095593,-0.034808,-0.050747,0.031288,0.079238,1.000000,-0.000273,-0.000478,-0.000174,0.909170,0.062549,0.307951,0.273247,19.363147,31.720549,39.005629
30969,-5.143435,3.084401,7.966095,-0.086552,0.281906,0.154265,-0.067117,-0.099428,-0.053122,-0.051466,0.030884,0.079625,1.000000,-0.000336,-0.000497,-0.000266,0.909405,0.062299,0.307392,0.273152,19.296294,31.671816,38.958108
30970,-5.186510,2.836790,7.949777,-0.024357,0.052072,0.094022,-0.063712,-0.108981,-0.073009,-0.051898,0.028412,0.079460,1.000000,-0.000319,-0.000545,-0.000365,0.909682,0.062036,0.306801,0.272953,19.222356,31.622287,38.894931
30971,-5.121743,2.710074,7.897962,0.032838,-0.020481,-0.017125,-0.048917,-0.112173,-0.081014,-0.051251,0.027141,0.078944,1.000000,-0.000245,-0.000561,-0.000405,0.909968,0.061844,0.306218,0.272699,19.155355,31.571808,38.827070
30972,-5.220296,2.575386,7.974581,0.061230,-0.180952,0.058561,-0.029859,-0.128706,-0.089176,-0.052243,0.025789,0.079708,1.000000,-0.000149,-0.000644,-0.000446,0.910285,0.061737,0.305588,0.272369,19.093374,31.514509,38.749487
30973,-5.173111,2.548233,7.941558,0.071810,-0.181287,-0.000202,-0.011075,-0.148229,-0.075983,-0.051780,0.025506,0.079376,1.000000,-0.000055,-0.000741,-0.000380,0.910607,0.061774,0.304890,0.272068,19.045796,31.443452,38.677096
30974,-5.212936,2.602400,7.945309,0.008198,-0.159849,0.038682,0.003646,-0.168972,-0.065032,-0.052188,0.026040,0.079409,1.000000,0.000018,-0.000845,-0.000325,0.910942,0.061911,0.304115,0.271783,19.006689,31.359720,38.606255
30975,-5.160893,2.697165,7.970034,-0.001132,-0.056182,0.057864,0.001743,-0.177192,-0.046436,-0.051673,0.026983,0.079655,1.000000,0.000009,-0.000886,-0.000232,0.911262,0.062090,0.303293,0.271589,18.973184,31.267393,38.546498
30976,-5.180149,2.662584,7.922248,-0.041933,-0.104359,0.019537,-0.004179,-0.178263,-0.025756,-0.051869,0.026634,0.079176,1.000000,-0.000021,-0.000891,-0.000129,0.911558,0.062264,0.302453,0.271491,18.941770,31.171243,38.498777
30977,-5.075325,2.824699,7.975082,-0.032097,0.084019,0.052994,-0.026572,-0.198110,-0.008369,-0.050831,0.028260,0.079697,0.999999,-0.000133,-0.000991,-0.000042,0.911865,0.062400,0.301484,0.271506,18.902443,31.060457,38.458817
30978,-5.107533,2.749474,7.993382,-0.028054,-0.003664,0.063537,-0.029706,-0.217963,0.006730,-0.051163,0.027505,0.079874,0.999999,-0.000149,-0.001090,0.000034,0.912183,0.062560,0.300417,0.271582,18.862850,30.936708,38.423310
30979,-5.150595,2.794787,7.982951,-0.105074,0.001574,0.089630,-0.037639,-0.236277,0.024822,-0.051604,0.027956,0.079763,0.999999,-0.000188,-0.001181,0.000124,0.912504,0.062747,0.299249,0.271752,18.824010,30.799042,38.396365
30980,-5.082351,2.865503,7.989112,-0.110411,0.088420,0.079089,-0.051898,-0.232165,0.028508,-0.050920,0.028668,0.079825,0.999999,-0.000259,-0.001161,0.000143,0.912818,0.062858,0.298079,0.271956,18.777464,30.663525,38.371854
30981,-4.937945,2.803315,8.088839,0.051085,0.109040,0.069451,-0.061504,-0.214997,0.031608,-0.049471,0.028050,0.080827,0.999999,-0.000308,-0.001075,0.000158,0.913103,0.062917,0.296973,0.272198,18.729726,30.536129,38.354062
30982,-4.779377,2.780782,8.281205,0.259015,0.176259,0.139969,-0.051194,-0.190189,0.026066,-0.047876,0.027823,0.082759,1.000000,-0.000256,-0.000951,0.000130,0.913356,0.062971,0.295996,0.272402,18.687597,30.423806,38.337281
30983,-4.707120,2.826250,8.260641,0.257799,0.245918,0.099724,-0.044224,-0.150574,0.016383,-0.047136,0.028277,0.082565,1.000000,-0.000221,-0.000753,0.000082,0.913558,0.062998,0.295211,0.272569,18.652025,30.334128,38.323856
30984,-4.775641,2.877752,8.283446,0.187032,0.249918,0.167605,-0.044058,-0.105992,0.002364,-0.047801,0.028795,0.082803,1.000000,-0.000220,-0.000530,0.000012,0.913715,0.062934,0.294635,0.272680,18.615618,30.271839,38.310223
30985,-4.789228,2.763174,8.269197,0.212830,0.143949,0.131429,-0.031537,-0.060490,-0.019246,-0.047915,0.027649,0.082673,1.000000,-0.000158,-0.000302,-0.000096,0.913828,0.062844,0.294290,0.272694,18.585730,30.237541,38.293601
30986,-4.786387,2.801403,8.279633,0.197508,0.179066,0.149170,-0.019669,-0.022284,-0.031920,-0.047869,0.028030,0.082788,1.000000,-0.000098,-0.000111,-0.000160,0.913901,0.062727,0.294140,0.272639,18.561405,30.226960,38.276185
30987,-4.817978,2.759391,8.257788,0.180647,0.128139,0.135637,-0.018068,0.009212,-0.041115,-0.048170,0.027611,0.082578,1.000000,-0.000090,0.000046,-0.000206,0.913937,0.062572,0.294138,0.272554,18.539733,30.234470,38.260554
30988,-4.874544,2.737596,8.204244,0.122385,0.081046,0.114229,-0.007418,0.042692,-0.042287,-0.048722,0.027389,0.082052,1.000000,-0.000037,0.000213,-0.000211,0.913924,0.062407,0.294306,0.272454,18.526042,30.261064,38.250322
30989,-4.899928,2.706845,8.198089,0.118908,0.046042,0.113475,-0.010843,0.061730,-0.042932,-0.048968,0.027083,0.081995,1.000000,-0.000054,0.000309,-0.000215,0.913884,0.062210,0.294554,0.272368,18.513486,30.297413,38.244599
30990,-4.900108,2.727386,8.146185,0.083897,0.066657,0.076627,-0.011602,0.074878,-0.038768,-0.048965,0.027288,0.081479,1.000000,-0.000058,0.000374,-0.000194,0.913820,0.061988,0.294862,0.272300,18.501918,30.340851,38.243342
30991,-4.927629,2.655001,8.130911,0.095126,-0.003819,0.058139,-0.018851,0.088989,-0.028193,-0.049236,0.026565,0.081329,1.000000,-0.000094,0.000445,-0.000141,0.913721,0.061738,0.295219,0.272301,18.492338,30.389321,38.252618
30992,-5.036744,2.477768,8.065963,0.071153,-0.209148,0.011724,-0.012113,0.078484,-0.013998,-0.050334,0.024786,0.080678,1.000000,-0.000061,0.000392,-0.000070,0.913618,0.061545,0.295535,0.272348,18.488752,30.430216,38.267711
30993,-5.148161,2.564114,7.980558,-0.088671,-0.196876,0.021992,0.000666,0.049138,0.001120,-0.051462,0.025641,0.079818,1.000000,0.000003,0.000246,0.000006,0.913532,0.061483,0.295727,0.272441,18.495442,30.451711,38.287045
30994,-5.143955,2.712815,7.953330,-0.167772,-0.069918,0.038306,0.003649,0.016531,0.012585,-0.051435,0.027123,0.079538,1.000000,0.000018,0.000083,0.000063,0.913480,0.061485,0.295773,0.272567,18.502774,30.454110,38.305843
30995,-5.020189,2.743987,8.021022,-0.059585,0.024453,0.039439,0.002777,-0.007595,0.012850,-0.050207,0.027436,0.080209,1.000000,0.000014,-0.000038,0.000064,0.913461,0.061527,0.295706,0.272694,18.508348,30.442668,38.320599
30996,-4.974330,2.788294,8.097263,-0.006878,0.087823,0.090668,0.008375,-0.024075,0.013691,-0.049755,0.027876,0.080968,1.000000,0.000042,-0.000120,0.000068,0.913465,0.061608,0.295573,0.272805,18.514394,30.422800,38.331523
30997,-4.943004,2.834437,8.087428,-0.015208,0.140070,0.079429,0.004710,-0.031990,0.008087,-0.049444,0.028340,0.080867,1.000000,0.000024,-0.000160,0.000040,0.913488,0.061685,0.295398,0.272899,18.516939,30.398973,38.338123
30998,-4.977887,2.814554,8.122611,-0.012359,0.103802,0.120436,0.009251,-0.031639,-0.000324,-0.049792,0.028142,0.081220,1.000000,0.000046,-0.000158,-0.000002,0.913523,0.061759,0.295236,0.272943,18.518204,30.377545,38.338617
30999,-4.907076,2.833105,8.104964,0.014378,0.153962,0.075306,0.016061,-0.028955,-0.011196,-0.049081,0.028327,0.081045,1.000000,0.000080,-0.000145,-0.000056,0.913564,0.061855,0.295097,0.272934,18.521437,30.358873,38.333714
31000,-4.914125,2.816453,8.120859,0.024249,0.135112,0.087340,0.012833,-0.024806,-0.016932,-0.049149,0.028163,0.081204,1.000000,0.000064,-0.000124,-0.000085,0.913610,0.061912,0.294975,0.272899,18.520198,30.344179,38.325191
31001,-4.901585,2.744385,8.125036,0.066440,0.079570,0.064694,0.014448,-0.023976,-0.017663,-0.049023,0.027442,0.081246,1.000000,0.000072,-0.000120,-0.000088,0.913653,0.061985,0.294859,0.272863,18.520990,30.329382,38.317272
31002,-4.931122,2.747550,8.110777,0.034933,0.064268,0.068828,0.017141,-0.024028,-0.020044,-0.049318,0.027473,0.081104,1.000000,0.000086,-0.000120,-0.000100,0.913701,0.062056,0.294748,0.272808,18.521318,30.315677,38.306958
31003,-5.011209,2.684094,8.070086,-0.015432,-0.036024,0.058550,0.016694,-0.031791,-0.016420,-0.050123,0.026838,0.080695,1.000000,0.000083,-0.000159,-0.000082,0.913753,0.062151,0.294598,0.272773,18.522960,30.296403,38.298172
31004,-5.019680,2.674118,8.052567,-0.029372,-0.052371,0.045727,0.017965,-0.040446,-0.005491,-0.050212,0.026735,0.080518,1.000000,0.000090,-0.000202,-0.000027,0.913804,0.062270,0.294409,0.272777,18.526639,30.271130,38.293555
31005,-5.064144,2.644026,8.069731,-0.039768,-0.104818,0.073890,0.017277,-0.062237,0.003656,-0.050667,0.026432,0.080684,1.000000,0.000086,-0.000311,0.000018,0.913874,0.062438,0.294114,0.272823,18.531740,30.231672,38.290971
31006,-4.987662,2.699012,8.095280,-0.003993,-0.021468,0.071366,0.019073,-0.073510,0.012012,-0.049908,0.026979,0.080937,1.000000,0.000095,-0.000368,0.000060,0.913950,0.062633,0.293770,0.272896,18.538089,30.185251,38.290386
31007,-4.969875,2.670436,8.109793,0.023484,-0.041541,0.066450,0.016984,-0.082136,0.016368,-0.049734,0.026693,0.081080,1.000000,0.000085,-0.000411,0.000082,0.914031,0.062846,0.293380,0.272994,18.544915,30.132679,38.291577
31008,-4.953474,2.731359,8.106372,-0.002479,0.011941,0.072167,0.014237,-0.092271,0.022456,-0.049575,0.027302,0.081043,1.000000,0.000071,-0.000461,0.000112,0.914121,0.063060,0.292940,0.273116,18.549794,30.074164,38.293587
31009,-4.945228,2.733877,8.110557,-0.003097,0.011339,0.072167,0.017001,-0.094088,0.028097,-0.049494,0.027325,0.081085,1.000000,0.000085,-0.000470,0.000140,0.914203,0.063306,0.292492,0.273263,18.559035,30.012966,38.299595
31010,-4.916299,2.806039,8.126523,-0.015791,0.080771,0.090718,0.014972,-0.107288,0.026313,-0.049210,0.028048,0.081241,1.000000,0.000075,-0.000536,0.000132,0.914309,0.063549,0.291983,0.273396,18.563951,29.945590,38.300842
31011,-4.939632,2.858941,8.090886,-0.085914,0.103109,0.087713,0.009138,-0.123899,0.025082,-0.049450,0.028580,0.080880,1.000000,0.000046,-0.000619,0.000125,0.914441,0.063796,0.291388,0.273532,18.564592,29.868752,38.298664
31012,-4.990857,2.741693,8.044536,-0.103811,-0.033437,0.042676,0.003205,-0.135983,0.029991,-0.049967,0.027408,0.080412,1.000000,0.000016,-0.000680,0.000150,0.914587,0.064030,0.290731,0.273690,18.560905,29.785119,38.296178
31013,-5.070612,2.751678,8.008285,-0.196954,-0.078944,0.054958,-0.013113,-0.175195,0.045822,-0.050783,0.027510,0.080037,1.000000,-0.000066,-0.000876,0.000229,0.914771,0.064275,0.289864,0.273936,18.549908,29.676648,38.296217
31014,-5.197918,2.653292,7.941355,-0.294029,-0.244447,0.035012,-0.024955,-0.226090,0.064948,-0.052078,0.026526,0.079351,0.999999,-0.000125,-0.001130,0.000325,0.915007,0.064554,0.288744,0.274265,18.531579,29.537698,38.296732
31015,-5.154375,2.807359,7.982449,-0.336385,-0.104466,0.089039,-0.031996,-0.300052,0.077789,-0.051674,0.028066,0.079743,0.999999,-0.000160,-0.001500,0.000389,0.915331,0.064930,0.287270,0.274644,18.506774,29.355614,38.290689
31016,-4.981052,2.866693,8.069098,-0.225783,0.024834,0.091224,-0.028277,-0.349935,0.074423,-0.049962,0.028660,0.080600,0.999998,-0.000141,-0.001750,0.000372,0.915729,0.065377,0.285574,0.274979,18.476883,29.147648,38.271444
31017,-4.801556,2.877580,8.182686,-0.076513,0.116094,0.100551,-0.027009,-0.380153,0.058076,-0.048179,0.028773,0.081732,0.999998,-0.000135,-0.001901,0.000290,0.916187,0.065857,0.283745,0.275232,18.441089,28.925636,38.236766
31018,-4.709580,2.759304,8.297309,0.072398,0.051521,0.118639,-0.015938,-0.380352,0.035987,-0.047258,0.027591,0.082881,0.999998,-0.000080,-0.001902,0.000180,0.916671,0.066348,0.281937,0.275363,18.404049,28.708075,38.187756
31019,-4.633747,2.673035,8.241736,0.102233,-0.000859,0.012402,0.016885,-0.378769,0.000772,-0.046494,0.026723,0.082332,0.999998,0.000084,-0.001894,0.000004,0.917184,0.066946,0.280191,0.275289,18.377000,28.497136,38.118315
31020,-4.441855,2.778181,8.385029,0.234967,0.177467,0.070140,0.027404,-0.354860,-0.015532,-0.044565,0.027774,0.083775,0.999998,0.000137,-0.001774,-0.000078,0.917682,0.067527,0.278575,0.275129,18.352657,28.302693,38.043133
31021,-4.376571,2.722651,8.472691,0.327655,0.151626,0.098078,0.027296,-0.308932,-0.016243,-0.043894,0.027219,0.084663,0.999999,0.000136,-0.001545,-0.000081,0.918112,0.068052,0.277168,0.274985,18.333978,28.132737,37.977920
31022,-4.382574,2.554940,8.473561,0.379466,-0.007670,0.056041,0.033843,-0.265365,-0.012785,-0.043936,0.025538,0.084682,0.999999,0.000169,-0.001327,-0.000064,0.918475,0.068543,0.275969,0.274857,18.323287,27.986434,37.923081
31023,-4.479117,2.628753,8.420664,0.230075,-0.014395,0.078077,0.050091,-0.227792,0.008432,-0.044888,0.026265,0.084162,0.999999,0.000250,-0.001139,0.000042,0.918748,0.069095,0.274956,0.274822,18.332906,27.856116,37.889813
31024,-4.495333,2.726051,8.396552,0.144992,0.043485,0.092792,0.050626,-0.189115,0.022970,-0.045036,0.027234,0.083930,1.000000,0.000253,-0.000946,0.000115,0.918948,0.069608,0.274118,0.274860,18.349596,27.744846,37.872594
31025,-4.490865,2.804216,8.399786,0.101298,0.097723,0.115457,0.056670,-0.156839,0.034509,-0.044979,0.028011,0.083971,1.000000,0.000283,-0.000784,0.000173,0.919084,0.070128,0.273430,0.274960,18.377237,27.648409,37.869770
31026,-4.423268,2.787814,8.446906,0.172822,0.109007,0.119365,0.060233,-0.118934,0.035998,-0.044288,0.027845,0.084451,1.000000,0.000301,-0.000595,0.000180,0.919166,0.070606,0.272922,0.275069,18.409784,27.572954,37.874778
31027,-4.318682,2.827785,8.497501,0.249696,0.188933,0.124961,0.074219,-0.074368,0.031135,-0.043223,0.028240,0.084969,1.000000,0.000371,-0.000372,0.000156,0.919186,0.071089,0.272638,0.275158,18.454257,27.521944,37.886605
31028,-4.269544,2.831048,8.439082,0.249763,0.207612,0.054250,0.079523,-0.040816,0.017741,-0.042715,0.028273,0.084393,1.000000,0.000398,-0.000204,0.000089,0.919179,0.071523,0.272522,0.275184,18.500009,27.492249,37.896291
31029,-4.349182,2.899925,8.423041,0.154943,0.213337,0.097057,0.088086,-0.011516,0.009984,-0.043498,0.028960,0.084241,1.000000,0.000440,-0.000058,0.000050,0.919138,0.071955,0.272553,0.275179,18.552337,27.479187,37.907961
31030,-4.405121,2.859537,8.453544,0.155151,0.142686,0.137188,0.089454,0.008025,-0.001754,-0.044048,0.028558,0.084550,1.000000,0.000447,0.000040,-0.000009,0.919087,0.072341,0.272682,0.275120,18.602876,27.479560,37.915702
31031,-4.526900,2.728894,8.351215,0.080349,-0.041007,0.070346,0.089189,0.009747,-0.009786,-0.045264,0.027254,0.083527,1.000000,0.000446,0.000049,-0.000049,0.919043,0.072721,0.272819,0.275030,18.652262,27.481621,37.919635
31032,-4.600215,2.641918,8.322118,0.058506,-0.160565,0.054944,0.101430,-0.002057,-0.011253,-0.046002,0.026380,0.083234,1.000000,0.000507,-0.000010,-0.000056,0.919014,0.073163,0.272922,0.274908,18.706020,27.478254,37.919479
31033,-4.729910,2.668457,8.231720,-0.089184,-0.218872,0.046220,0.123962,-0.018962,-0.002039,-0.047307,0.026634,0.082329,1.000000,0.000620,-0.000095,-0.000010,0.918986,0.073753,0.272972,0.274795,18.774745,27.463312,37.922183
31034,-4.765290,2.735164,8.156529,-0.183196,-0.194055,0.018226,0.118661,-0.058982,0.013336,-0.047679,0.027300,0.081567,1.000000,0.000593,-0.000295,0.000067,0.918994,0.074385,0.272827,0.274741,18.839837,27.424529,37.925198
31035,-4.773835,2.795437,8.202438,-0.192578,-0.160783,0.077763,0.124908,-0.089201,0.021498,-0.047778,0.027898,0.082021,1.000000,0.000625,-0.000446,0.000107,0.919028,0.075108,0.272547,0.274709,18.908931,27.367172,37.927557
31036,-4.691608,2.901234,8.229775,-0.172141,-0.041909,0.093176,0.118521,-0.122428,0.031381,-0.046971,0.028956,0.082286,1.000000,0.000593,-0.000612,0.000157,0.919097,0.075852,0.272104,0.274713,18.972845,27.290643,37.928193
31037,-4.554124,3.115110,8.288046,-0.148235,0.196933,0.140949,0.112774,-0.131251,0.029319,-0.045600,0.031098,0.082868,1.000000,0.000564,-0.000656,0.000147,0.919180,0.076587,0.271611,0.274717,19.033054,27.209074,37.926339
31038,-4.327118,3.241520,8.338068,-0.025869,0.412964,0.116238,0.085920,-0.115192,0.023320,-0.043323,0.032374,0.083370,1.000000,0.000430,-0.000576,0.000117,0.919262,0.077160,0.271159,0.274732,19.076662,27.137970,37.923417
31039,-4.214783,3.256754,8.364503,0.055195,0.476082,0.092162,0.058296,-0.087786,0.015262,-0.042187,0.032540,0.083636,1.000000,0.000291,-0.000439,0.000076,0.919325,0.077566,0.270796,0.274762,19.105904,27.082564,37.922044
31040,-4.205175,3.213812,8.392634,0.093217,0.437998,0.099319,0.037326,-0.052317,0.010216,-0.042075,0.032120,0.083921,1.000000,0.000187,-0.000262,0.000051,0.919358,0.077811,0.270571,0.274806,19.124041,27.047960,37.924322
31041,-4.277669,3.140849,8.425140,0.090858,0.332698,0.138565,0.014389,-0.032449,0.006242,-0.042791,0.031401,0.084247,1.000000,0.000072,-0.000162,0.000031,0.919376,0.077928,0.270405,0.274875,19.130954,27.024168,37.929116
