PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
15258,-9.661510,0.420050,-1.986931,-0.256509,0.238281,0.053746,0.070077,-0.029333,-0.131800,-0.096609,0.004271,-0.019882,1.000000,0.000350,-0.000147,-0.000659,0.254256,0.732447,0.255725,-0.577478,159.271306,77.417242,21.815296
15259,-9.404087,0.385675,-1.958010,-0.237908,0.257068,-0.205570,0.028890,-0.018446,-0.120176,-0.094037,0.003916,-0.019588,1.000000,0.000144,-0.000092,-0.000601,0.253833,0.732279,0.256064,-0.577726,159.559346,77.450444,22.094576
15260,-9.680244,0.399563,-1.904722,-0.313256,0.180215,0.054638,0.110453,-0.010345,-0.112420,-0.096799,0.004061,-0.019050,1.000000,0.000552,-0.000052,-0.000562,0.253123,0.732246,0.256149,-0.578042,159.884537,77.477738,22.363864
15261,-9.625591,0.725070,-1.688410,-0.230306,-0.210064,-0.018236,0.180537,-0.025106,-0.115740,-0.096250,0.007322,-0.016890,0.999999,0.000903,-0.000126,-0.000579,0.252166,0.732256,0.256025,-0.578502,160.246002,77.512945,22.629381
15262,-9.479014,0.931848,-1.700949,-0.044654,-0.351745,-0.143791,0.058268,-0.015540,-0.113299,-0.094784,0.009377,-0.017014,1.000000,0.000291,-0.000078,-0.000566,0.251650,0.732140,0.256257,-0.578770,160.541737,77.542525,22.899056
15263,-9.538194,0.787853,-1.974871,0.052738,-0.075285,-0.040814,-0.023602,-0.009195,-0.118028,-0.095376,0.007932,-0.019754,1.000000,-0.000118,-0.000046,-0.000590,0.251414,0.731935,0.256751,-0.578913,160.808271,77.568978,23.187030
15264,-9.474710,0.743799,-2.199373,0.205376,0.104465,-0.060379,0.008928,-0.007262,-0.120369,-0.094742,0.007496,-0.021997,1.000000,0.000045,-0.000036,-0.000602,0.251048,0.731772,0.257162,-0.579097,161.102645,77.594823,23.484203
15265,-9.533881,0.786611,-2.154616,0.198802,0.029306,-0.008830,0.029338,-0.009184,-0.128141,-0.095333,0.007930,-0.021549,1.000000,0.000147,-0.000046,-0.000641,0.250588,0.731620,0.257540,-0.579320,161.427033,77.622510,23.800225
15266,-9.653681,0.833946,-2.235772,0.274845,0.029188,0.127699,0.033102,-0.021783,-0.125782,-0.096529,0.008404,-0.022367,1.000000,0.000166,-0.000109,-0.000629,0.250136,0.731437,0.257882,-0.579594,161.739361,77.656528,24.101533
15267,-9.624267,0.775394,-2.231292,0.249254,0.063673,0.093887,0.047315,-0.032103,-0.140479,-0.096234,0.007827,-0.022327,1.000000,0.000237,-0.000161,-0.000702,0.249604,0.731224,0.258224,-0.579939,162.089232,77.698090,24.433102
